find_opens_at,apply_opens_at,apply_deadline_at,reject_by_default_at,decline_by_default_at,find_closes_at,christmas_holiday_range,easter_holiday_range,recruitment_cycle_year,updated_at
2026-10-01T09:00:00+01:00,2026-10-08T09:00:00+01:00,2027-09-16T18:00:00+01:00,2027-09-24T23:59:59+01:00,2027-09-29T23:59:59+01:00,2027-09-30T23:59:59+01:00,"[""2026-12-18"", ""2027-01-06""]","[""2027-03-15"", ""2027-03-30""]",2027,2025-01-31T14:52:26+00:00
2025-10-01T09:00:00+01:00,2025-10-08T09:00:00+01:00,2026-09-16T18:00:00+01:00,2026-09-24T23:59:59+01:00,2026-09-29T23:59:59+01:00,2026-09-30T23:59:59+01:00,"[""2025-12-18"", ""2026-01-06""]","[""2026-03-23"", ""2026-04-07""]",2026,2025-01-31T14:52:26+00:00
2024-10-01T09:00:00+01:00,2024-10-08T09:00:00+01:00,2025-09-16T18:00:00+01:00,2025-09-24T23:59:59+01:00,2025-09-29T23:59:59+01:00,2025-09-30T23:59:59+01:00,"[""2024-12-18"", ""2025-01-06""]","[""2025-04-07"", ""2025-04-22""]",2025,2025-01-31T14:52:26+00:00
2023-10-03T09:00:00+01:00,2023-10-10T09:00:00+01:00,2024-09-17T18:00:00+01:00,2024-09-25T23:59:59+01:00,2024-09-29T23:59:59+01:00,2024-09-30T23:59:59+01:00,"[""2023-12-18"", ""2024-01-06""]","[""2024-03-18"", ""2024-04-02""]",2024,2025-01-31T14:52:26+00:00
2022-10-04T09:00:00+01:00,2022-10-11T09:00:00+01:00,2023-09-19T18:00:00+01:00,2023-09-27T23:59:59+01:00,2023-10-01T23:59:59+01:00,2023-10-02T23:59:59+01:00,"[""2022-12-19"", ""2023-01-07""]","[""2023-03-27"", ""2023-04-11""]",2023,2025-01-31T14:52:26+00:00
2021-10-05T09:00:00+01:00,2021-10-12T09:00:00+01:00,2022-09-20T18:00:00+01:00,2022-09-28T23:59:59+01:00,2022-10-02T23:59:59+01:00,2022-10-03T23:59:59+01:00,"[""2021-12-14"", ""2022-01-17""]","[""2022-04-04"", ""2022-04-19""]",2022,2025-01-31T14:52:26+00:00
2020-10-06T09:00:00+01:00,2020-10-13T09:00:00+01:00,2021-09-21T18:00:00+01:00,2021-09-29T23:59:59+01:00,2021-10-03T23:59:59+01:00,2021-10-04T23:59:59+01:00,"[""2020-12-20"", ""2021-01-02""]","[""2021-04-02"", ""2021-04-17""]",2021,2025-01-31T14:52:26+00:00
2019-10-06T09:00:00+01:00,2019-10-13T09:00:00+01:00,2020-09-18T18:00:00+01:00,2020-09-29T23:59:59+01:00,2020-10-02T23:59:59+01:00,2020-10-03T23:59:59+01:00,,,2020,2025-01-31T14:52:26+00:00
2018-10-06T09:00:00+01:00,2018-10-13T09:00:00+01:00,2019-09-18T18:00:00+01:00,2019-09-29T23:59:59+01:00,2019-10-02T23:59:59+01:00,2019-10-03T23:59:59+01:00,,,2019,2025-01-31T14:52:26+00:00
